i,j,v
3652,317501,10
423378,308536,40
259794,380486,165
253197,374386,55
317037,342222,100
290744,388914,165
497738,295349,500
423127,16601,13
434888,392734,100
448380,376576,51
8447,306670,111
270228,519325,20
704446,360551,35
287806,606671,200
364953,394357,22
502728,501332,43
14451,15462,179
468925,352294,111
265409,11124,500
451841,15776,10
267671,677622,21
291140,486468,4
459795,462989,20
423873,419521,1
435978,503751,5
211535,10575,150
507937,486560,35
304503,440524,10
577132,556897,5
286094,379089,30
368313,489346,85
378422,283144,100
280002,13797,100
22342,189285,31
388824,378661,12
341185,8276,505
7910,409644,101
263339,412564,109
238370,13874,30
421227,468947,130
227791,8276,1000
351236,380524,459
524464,509150,10
506483,340560,24
368013,315267,50
508381,401773,50
436827,521019,88
518129,16505,10
441956,342477,14
15776,270138,600
509648,376591,36
3828,326306,50
469501,14209,20
14688,14044,100
524464,435204,160
388622,392734,200
378422,417451,50
387107,327341,51
480411,530565,20
430789,427204,40
445234,493964,50
15776,261625,110
435978,458767,11
417426,507286,17
435978,417451,9
342477,211205,10
506483,536590,2
506483,4027,20
309242,3652,60
396212,345851,500
14688,420925,12
385878,17356,55
499635,507578,66
504631,427818,100
218369,269991,10
507286,612972,15
381093,232653,40
526534,526697,119
294090,306610,100
354795,15351,50
4567,14464,69
18091,15983,25
400135,468670,15
316982,248611,111
312305,386139,69
193928,327165,400
265418,248142,1057
335897,405220,199
289811,330563,6
505633,291789,539
361434,287925,3
524464,424432,20
326390,269694,50
12048,8447,500
357687,296687,50
414542,419626,30
278653,413352,50
15776,332316,50
501845,375624,50
426373,379652,54
511298,481582,10
635848,382857,50
443909,449135,130
315697,350228,10
396484,590111,999
211535,236443,101
381751,437357,5
3652,448502,10
508261,419521,6
518242,360427,15
423327,500349,122
511515,500725,20
422447,382645,7
315697,478492,10
343039,443910,30
211535,14191,100
507937,280346,35
470458,295057,49
291140,443863,152
307199,427386,50
527029,525467,110
378661,383106,31
435920,396276,72
218369,734297,10
279485,329309,15
378422,354220,40
268359,478916,40
417435,434358,10
8447,284408,33
422447,491170,29
388824,387383,14
302556,294090,20
287925,341185,50
350228,9218,20
250874,422233,73
441253,545788,83
265409,409380,100
8447,292506,150
8447,463031,5
550205,281450,89
211693,456675,90
428341,473065,3
251452,539,100
440283,440252,23
426373,331578,74
431372,476459,332
452121,248389,1
511543,422333,15
393526,426373,50
276562,539,69
